A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V
97.77,0.193,0.333,0.317,0.28,0.384,0.322,0.263,0.333,0.69,0.361,0.107,0.175,0.193,0.193,0.141,0.138,0.14,0.145,0.137,0.112,Ethan
97.79,0.193,0.335,0.32,0.282,0.387,0.327,0.266,0.334,0.687,0.354,0.109,0.175,0.194,0.193,0.143,0.139,0.14,0.145,0.137,0.113,Ethan
97.83,0.194,0.337,0.321,0.283,0.388,0.329,0.268,0.33,0.692,0.362,0.109,0.174,0.193,0.194,0.143,0.139,0.142,0.146,0.139,0.113,Ethan
97.84,0.195,0.338,0.323,0.284,0.391,0.329,0.27,0.336,0.682,0.348,0.11,0.177,0.195,0.195,0.143,0.14,0.142,0.147,0.139,0.114,Ethan
97.81,0.191,0.331,0.316,0.278,0.384,0.322,0.267,0.327,0.672,0.347,0.108,0.173,0.19,0.191,0.14,0.138,0.14,0.142,0.135,0.111,Ethan
97.77,0.192,0.33,0.316,0.279,0.384,0.322,0.265,0.326,0.676,0.352,0.106,0.174,0.19,0.192,0.14,0.138,0.14,0.142,0.135,0.111,Ethan
97.83,0.194,0.33,0.316,0.28,0.382,0.322,0.263,0.326,0.678,0.357,0.107,0.174,0.193,0.194,0.14,0.138,0.14,0.143,0.136,0.112,Ethan
97.88,0.194,0.33,0.316,0.279,0.382,0.322,0.265,0.33,0.686,0.357,0.107,0.174,0.193,0.194,0.14,0.138,0.14,0.143,0.136,0.112,Ethan
97.86,0.194,0.33,0.316,0.279,0.381,0.322,0.261,0.325,0.68,0.356,0.107,0.173,0.192,0.194,0.14,0.138,0.14,0.144,0.136,0.112,Ethan
97.82,0.194,0.33,0.316,0.277,0.381,0.322,0.264,0.328,0.677,0.351,0.108,0.173,0.191,0.194,0.139,0.138,0.14,0.142,0.135,0.111,Ethan
97.73,0.189,0.326,0.31,0.274,0.377,0.318,0.264,0.327,0.667,0.339,0.109,0.171,0.188,0.189,0.138,0.135,0.138,0.141,0.134,0.111,Ethan
97.7,0.19,0.327,0.313,0.274,0.381,0.322,0.263,0.33,0.667,0.339,0.108,0.172,0.188,0.19,0.138,0.135,0.135,0.14,0.134,0.11,Ethan
97.77,0.191,0.327,0.314,0.276,0.38,0.321,0.265,0.328,0.675,0.347,0.108,0.173,0.188,0.191,0.138,0.137,0.14,0.141,0.134,0.11,Ethan
97.8,0.19,0.327,0.312,0.276,0.379,0.32,0.264,0.325,0.67,0.345,0.105,0.174,0.189,0.19,0.138,0.136,0.138,0.141,0.134,0.111,Ethan
97.74,0.192,0.329,0.313,0.275,0.377,0.319,0.264,0.326,0.672,0.346,0.107,0.172,0.19,0.192,0.138,0.137,0.14,0.142,0.135,0.112,Ethan
97.8,0.194,0.329,0.315,0.278,0.381,0.321,0.265,0.328,0.666,0.338,0.109,0.176,0.195,0.194,0.139,0.138,0.14,0.143,0.136,0.113,Ethan
97.88,0.197,0.332,0.318,0.279,0.382,0.324,0.266,0.331,0.677,0.346,0.109,0.178,0.196,0.197,0.141,0.138,0.14,0.145,0.139,0.116,Ethan
97.86,0.194,0.332,0.317,0.281,0.382,0.322,0.267,0.33,0.667,0.339,0.108,0.175,0.193,0.194,0.14,0.138,0.14,0.144,0.137,0.113,Ethan
97.66,0.194,0.33,0.316,0.278,0.382,0.324,0.267,0.334,0.678,0.347,0.108,0.177,0.196,0.194,0.138,0.138,0.14,0.142,0.135,0.111,Ethan
97.77,0.192,0.33,0.315,0.278,0.382,0.323,0.266,0.33,0.67,0.343,0.108,0.175,0.192,0.192,0.138,0.138,0.14,0.142,0.135,0.111,Ethan
97.82,0.194,0.333,0.318,0.28,0.386,0.326,0.271,0.33,0.672,0.344,0.109,0.177,0.195,0.194,0.142,0.138,0.14,0.143,0.138,0.112,Ethan
97.86,0.195,0.335,0.321,0.283,0.387,0.328,0.27,0.33,0.68,0.35,0.11,0.177,0.194,0.195,0.143,0.139,0.14,0.146,0.138,0.113,Ethan
97.88,0.197,0.337,0.32,0.28,0.388,0.329,0.267,0.334,0.688,0.356,0.11,0.179,0.197,0.197,0.142,0.139,0.14,0.147,0.14,0.116,Ethan
97.83,0.198,0.337,0.32,0.282,0.389,0.328,0.269,0.334,0.696,0.362,0.111,0.178,0.197,0.198,0.143,0.139,0.14,0.146,0.138,0.113,Ethan
97.85,0.194,0.331,0.316,0.278,0.382,0.323,0.265,0.329,0.675,0.349,0.107,0.175,0.192,0.194,0.139,0.138,0.14,0.143,0.137,0.113,Ethan
97.82,0.193,0.332,0.316,0.278,0.381,0.322,0.265,0.33,0.677,0.349,0.109,0.175,0.192,0.193,0.14,0.138,0.14,0.144,0.137,0.113,Ethan
97.71,0.194,0.329,0.316,0.277,0.382,0.322,0.266,0.33,0.68,0.352,0.109,0.173,0.192,0.194,0.139,0.138,0.14,0.142,0.135,0.111,Ethan
97.5,0.194,0.33,0.315,0.277,0.382,0.322,0.265,0.336,0.685,0.35,0.108,0.177,0.193,0.194,0.138,0.136,0.136,0.14,0.134,0.11,Ethan
97.53,0.201,0.333,0.318,0.28,0.389,0.33,0.274,0.34,0.68,0.342,0.113,0.183,0.2,0.201,0.14,0.138,0.139,0.142,0.134,0.111,Ethan
97.54,0.194,0.331,0.317,0.281,0.386,0.324,0.267,0.334,0.677,0.345,0.108,0.176,0.193,0.194,0.141,0.138,0.14,0.144,0.136,0.113,Ethan
97.59,0.194,0.33,0.317,0.28,0.384,0.322,0.264,0.334,0.685,0.352,0.108,0.174,0.193,0.194,0.14,0.138,0.14,0.142,0.136,0.112,Ethan
97.69,0.193,0.332,0.315,0.279,0.383,0.324,0.267,0.338,0.693,0.358,0.11,0.174,0.191,0.193,0.14,0.138,0.14,0.145,0.138,0.113,Ethan
97.78,0.194,0.334,0.32,0.281,0.386,0.324,0.268,0.333,0.687,0.352,0.108,0.173,0.192,0.194,0.142,0.138,0.14,0.145,0.139,0.113,Ethan
97.78,0.193,0.332,0.317,0.279,0.382,0.323,0.266,0.328,0.67,0.344,0.109,0.175,0.192,0.193,0.142,0.138,0.14,0.147,0.14,0.116,Ethan
97.7,0.194,0.332,0.316,0.279,0.382,0.324,0.267,0.334,0.685,0.352,0.109,0.175,0.193,0.194,0.14,0.138,0.14,0.145,0.139,0.114,Ethan
97.73,0.19,0.332,0.316,0.279,0.382,0.323,0.263,0.327,0.678,0.352,0.107,0.173,0.19,0.19,0.142,0.138,0.14,0.144,0.137,0.113,Ethan
97.69,0.193,0.331,0.315,0.279,0.382,0.323,0.266,0.328,0.672,0.344,0.107,0.174,0.191,0.193,0.14,0.138,0.14,0.144,0.136,0.113,Ethan
97.65,0.2,0.333,0.319,0.278,0.386,0.325,0.268,0.336,0.686,0.352,0.11,0.179,0.197,0.2,0.142,0.139,0.14,0.146,0.139,0.116,Ethan
97.65,0.194,0.331,0.315,0.279,0.383,0.324,0.267,0.33,0.683,0.354,0.108,0.174,0.191,0.194,0.142,0.138,0.14,0.145,0.138,0.113,Ethan
97.61,0.194,0.33,0.315,0.278,0.382,0.323,0.266,0.332,0.684,0.352,0.107,0.174,0.192,0.194,0.139,0.138,0.14,0.143,0.136,0.113,Ethan
97.54,0.197,0.333,0.317,0.279,0.385,0.324,0.269,0.336,0.686,0.351,0.108,0.177,0.194,0.197,0.141,0.138,0.14,0.142,0.135,0.111,Ethan
97.49,0.192,0.329,0.315,0.278,0.382,0.323,0.265,0.33,0.683,0.355,0.107,0.174,0.19,0.192,0.138,0.137,0.14,0.142,0.135,0.111,Ethan
97.51,0.194,0.33,0.316,0.28,0.383,0.322,0.268,0.337,0.689,0.354,0.109,0.176,0.194,0.194,0.138,0.138,0.14,0.142,0.135,0.111,Ethan
97.63,0.193,0.332,0.315,0.278,0.383,0.324,0.269,0.336,0.685,0.351,0.108,0.174,0.192,0.193,0.139,0.138,0.14,0.145,0.138,0.113,Ethan
97.44,0.19,0.326,0.31,0.276,0.376,0.316,0.26,0.328,0.674,0.346,0.106,0.172,0.188,0.19,0.138,0.135,0.137,0.141,0.134,0.111,Ethan
97.43,0.194,0.329,0.315,0.277,0.381,0.321,0.268,0.332,0.679,0.347,0.108,0.174,0.193,0.194,0.138,0.138,0.14,0.142,0.135,0.111,Ethan
97.5,0.194,0.33,0.315,0.276,0.382,0.323,0.268,0.332,0.677,0.345,0.108,0.176,0.192,0.194,0.138,0.138,0.139,0.142,0.136,0.113,Ethan
97.52,0.194,0.331,0.315,0.277,0.382,0.324,0.269,0.331,0.678,0.347,0.108,0.174,0.193,0.194,0.141,0.138,0.14,0.143,0.137,0.113,Ethan
97.57,0.193,0.33,0.315,0.278,0.382,0.323,0.268,0.332,0.682,0.352,0.107,0.173,0.191,0.193,0.14,0.138,0.14,0.144,0.137,0.113,Ethan
97.6,0.194,0.331,0.316,0.276,0.382,0.324,0.27,0.331,0.678,0.348,0.109,0.176,0.193,0.194,0.142,0.138,0.14,0.145,0.139,0.114,Ethan
97.66,0.194,0.33,0.315,0.277,0.382,0.322,0.265,0.331,0.683,0.353,0.108,0.173,0.192,0.194,0.14,0.138,0.14,0.145,0.139,0.113,Ethan
97.52,0.19,0.327,0.312,0.274,0.376,0.318,0.26,0.326,0.675,0.349,0.106,0.173,0.19,0.19,0.138,0.136,0.139,0.142,0.135,0.111,Ethan
97.58,0.193,0.33,0.315,0.277,0.381,0.322,0.266,0.33,0.672,0.344,0.108,0.173,0.191,0.193,0.138,0.138,0.14,0.142,0.135,0.111,Ethan
97.65,0.194,0.33,0.314,0.278,0.382,0.323,0.268,0.33,0.677,0.346,0.109,0.175,0.192,0.194,0.139,0.138,0.14,0.145,0.137,0.113,Ethan
97.72,0.193,0.331,0.316,0.279,0.382,0.324,0.264,0.331,0.685,0.355,0.107,0.175,0.193,0.193,0.141,0.138,0.14,0.146,0.139,0.116,Ethan
97.71,0.194,0.332,0.315,0.278,0.383,0.324,0.265,0.331,0.687,0.356,0.108,0.174,0.192,0.194,0.14,0.138,0.14,0.145,0.139,0.113,Ethan
97.73,0.194,0.331,0.315,0.279,0.383,0.324,0.27,0.33,0.681,0.351,0.109,0.175,0.193,0.194,0.142,0.138,0.14,0.145,0.139,0.115,Ethan
97.69,0.193,0.331,0.315,0.279,0.382,0.323,0.266,0.333,0.689,0.356,0.108,0.175,0.192,0.193,0.14,0.138,0.14,0.145,0.139,0.116,Ethan
97.72,0.193,0.331,0.316,0.278,0.382,0.323,0.264,0.33,0.681,0.352,0.108,0.174,0.192,0.193,0.141,0.138,0.14,0.145,0.139,0.113,Ethan
97.64,0.193,0.328,0.314,0.276,0.38,0.319,0.261,0.329,0.68,0.352,0.106,0.174,0.193,0.193,0.138,0.137,0.139,0.142,0.137,0.113,Ethan
97.6,0.194,0.331,0.316,0.277,0.382,0.323,0.267,0.332,0.685,0.353,0.108,0.175,0.192,0.194,0.14,0.138,0.14,0.143,0.138,0.113,Ethan
97.59,0.194,0.331,0.315,0.277,0.382,0.324,0.267,0.33,0.68,0.351,0.108,0.176,0.194,0.194,0.139,0.138,0.14,0.143,0.138,0.113,Ethan
97.72,0.193,0.331,0.316,0.279,0.382,0.323,0.267,0.331,0.672,0.343,0.108,0.178,0.195,0.193,0.14,0.138,0.14,0.145,0.14,0.116,Ethan
97.75,0.195,0.332,0.319,0.28,0.385,0.324,0.27,0.332,0.686,0.354,0.108,0.177,0.194,0.195,0.142,0.14,0.14,0.147,0.14,0.117,Ethan
97.65,0.193,0.33,0.316,0.279,0.382,0.322,0.266,0.33,0.676,0.346,0.108,0.174,0.194,0.193,0.139,0.138,0.14,0.143,0.139,0.113,Ethan
97.55,0.192,0.328,0.313,0.276,0.38,0.322,0.265,0.326,0.665,0.341,0.109,0.174,0.191,0.192,0.138,0.136,0.139,0.142,0.135,0.112,Ethan
97.55,0.191,0.327,0.311,0.277,0.376,0.317,0.262,0.326,0.669,0.344,0.107,0.173,0.189,0.191,0.138,0.136,0.14,0.142,0.135,0.111,Ethan
97.62,0.189,0.328,0.313,0.276,0.379,0.32,0.265,0.325,0.658,0.335,0.107,0.173,0.189,0.189,0.138,0.137,0.139,0.142,0.136,0.112,Ethan
97.53,0.193,0.329,0.315,0.277,0.379,0.322,0.267,0.328,0.666,0.34,0.107,0.174,0.192,0.193,0.138,0.137,0.14,0.142,0.135,0.113,Ethan
97.6,0.193,0.33,0.315,0.279,0.382,0.322,0.267,0.331,0.675,0.344,0.108,0.174,0.192,0.193,0.139,0.138,0.14,0.142,0.137,0.113,Ethan
97.61,0.195,0.333,0.318,0.281,0.385,0.324,0.268,0.336,0.683,0.349,0.109,0.177,0.193,0.195,0.142,0.138,0.14,0.144,0.138,0.113,Ethan
97.69,0.194,0.332,0.317,0.279,0.383,0.324,0.267,0.334,0.678,0.348,0.108,0.174,0.192,0.194,0.14,0.138,0.14,0.145,0.139,0.113,Ethan
97.64,0.192,0.329,0.314,0.276,0.38,0.321,0.265,0.33,0.679,0.35,0.108,0.174,0.19,0.192,0.138,0.137,0.139,0.142,0.136,0.113,Ethan
97.64,0.193,0.332,0.316,0.278,0.382,0.323,0.266,0.332,0.681,0.351,0.109,0.174,0.193,0.193,0.14,0.138,0.14,0.144,0.138,0.113,Ethan
97.72,0.194,0.333,0.317,0.279,0.384,0.324,0.27,0.331,0.682,0.35,0.108,0.177,0.195,0.194,0.142,0.138,0.14,0.147,0.14,0.115,Ethan
97.69,0.198,0.334,0.32,0.281,0.386,0.325,0.27,0.336,0.685,0.35,0.109,0.177,0.195,0.198,0.142,0.139,0.14,0.147,0.14,0.116,Ethan
97.7,0.194,0.331,0.316,0.278,0.383,0.323,0.268,0.332,0.681,0.349,0.11,0.177,0.193,0.194,0.14,0.138,0.14,0.146,0.14,0.116,Ethan
97.63,0.198,0.335,0.32,0.281,0.386,0.325,0.27,0.337,0.69,0.355,0.109,0.177,0.195,0.198,0.142,0.138,0.14,0.144,0.138,0.115,Ethan
97.62,0.194,0.331,0.316,0.279,0.38,0.319,0.265,0.33,0.68,0.354,0.108,0.175,0.194,0.194,0.14,0.138,0.14,0.144,0.138,0.115,Ethan
97.7,0.198,0.334,0.319,0.281,0.382,0.324,0.267,0.331,0.685,0.354,0.108,0.177,0.195,0.198,0.142,0.139,0.14,0.146,0.14,0.116,Ethan
97.75,0.196,0.335,0.32,0.28,0.387,0.327,0.271,0.335,0.677,0.344,0.11,0.178,0.196,0.196,0.142,0.14,0.14,0.147,0.14,0.117,Ethan
97.65,0.194,0.331,0.315,0.277,0.383,0.324,0.268,0.332,0.677,0.346,0.108,0.175,0.193,0.194,0.14,0.138,0.14,0.145,0.139,0.114,Ethan
97.66,0.194,0.331,0.315,0.28,0.382,0.323,0.266,0.332,0.681,0.349,0.109,0.174,0.192,0.194,0.14,0.138,0.14,0.142,0.136,0.113,Ethan
97.6,0.194,0.33,0.315,0.28,0.382,0.322,0.266,0.335,0.685,0.351,0.108,0.174,0.192,0.194,0.138,0.138,0.14,0.142,0.136,0.113,Ethan
97.63,0.191,0.329,0.315,0.279,0.381,0.322,0.264,0.334,0.689,0.355,0.107,0.173,0.189,0.191,0.139,0.138,0.14,0.142,0.137,0.112,Ethan
97.59,0.194,0.331,0.316,0.279,0.383,0.323,0.268,0.334,0.689,0.355,0.109,0.175,0.193,0.194,0.141,0.138,0.14,0.142,0.136,0.113,Ethan
97.66,0.198,0.335,0.319,0.281,0.386,0.326,0.267,0.336,0.697,0.361,0.109,0.177,0.194,0.198,0.142,0.138,0.14,0.145,0.139,0.113,Ethan
97.68,0.194,0.331,0.315,0.28,0.384,0.325,0.266,0.333,0.686,0.355,0.107,0.175,0.194,0.194,0.142,0.138,0.14,0.145,0.139,0.113,Ethan
97.64,0.201,0.334,0.318,0.282,0.385,0.325,0.266,0.335,0.694,0.361,0.109,0.179,0.198,0.201,0.142,0.139,0.14,0.147,0.14,0.116,Ethan
97.69,0.201,0.334,0.32,0.283,0.387,0.327,0.27,0.337,0.701,0.364,0.109,0.18,0.198,0.201,0.142,0.139,0.141,0.147,0.14,0.117,Ethan
97.68,0.197,0.335,0.321,0.285,0.389,0.329,0.27,0.334,0.698,0.366,0.108,0.177,0.195,0.197,0.143,0.14,0.142,0.147,0.14,0.117,Ethan
97.77,0.197,0.336,0.321,0.287,0.388,0.328,0.269,0.34,0.703,0.364,0.109,0.177,0.195,0.197,0.143,0.14,0.142,0.147,0.14,0.117,Ethan
97.81,0.197,0.337,0.321,0.287,0.391,0.33,0.273,0.334,0.693,0.357,0.11,0.178,0.196,0.197,0.143,0.143,0.143,0.147,0.14,0.117,Ethan
97.69,0.196,0.332,0.317,0.282,0.385,0.326,0.268,0.334,0.684,0.35,0.107,0.177,0.195,0.196,0.142,0.138,0.14,0.146,0.139,0.113,Ethan
97.7,0.197,0.331,0.317,0.282,0.385,0.324,0.269,0.332,0.676,0.346,0.108,0.178,0.196,0.197,0.142,0.138,0.14,0.145,0.139,0.113,Ethan
97.68,0.198,0.334,0.319,0.285,0.385,0.325,0.267,0.34,0.705,0.366,0.109,0.178,0.195,0.198,0.142,0.139,0.14,0.147,0.139,0.116,Ethan
97.72,0.199,0.334,0.32,0.284,0.387,0.327,0.268,0.336,0.699,0.364,0.109,0.179,0.199,0.199,0.142,0.139,0.14,0.147,0.14,0.117,Ethan
97.73,0.197,0.335,0.321,0.286,0.39,0.327,0.267,0.336,0.695,0.358,0.108,0.178,0.195,0.197,0.143,0.14,0.142,0.147,0.14,0.116,Ethan
97.74,0.197,0.335,0.321,0.287,0.388,0.327,0.269,0.334,0.694,0.362,0.108,0.179,0.197,0.197,0.143,0.139,0.142,0.147,0.14,0.117,Ethan
97.77,0.197,0.334,0.32,0.287,0.388,0.327,0.269,0.334,0.698,0.363,0.108,0.178,0.197,0.197,0.143,0.139,0.142,0.147,0.14,0.117,Ethan
97.81,0.197,0.336,0.321,0.287,0.387,0.328,0.268,0.336,0.699,0.362,0.11,0.178,0.196,0.197,0.143,0.139,0.142,0.147,0.14,0.117,Ethan
97.82,0.197,0.337,0.322,0.286,0.389,0.329,0.269,0.338,0.7,0.363,0.109,0.178,0.196,0.197,0.142,0.141,0.142,0.147,0.14,0.117,Ethan
97.82,0.198,0.336,0.321,0.286,0.388,0.329,0.271,0.338,0.699,0.361,0.111,0.178,0.198,0.198,0.142,0.14,0.14,0.147,0.14,0.117,Ethan
97.8,0.199,0.335,0.32,0.287,0.387,0.327,0.269,0.334,0.684,0.352,0.11,0.178,0.198,0.199,0.143,0.141,0.142,0.147,0.14,0.117,Ethan
97.85,0.198,0.336,0.322,0.286,0.389,0.33,0.27,0.334,0.698,0.365,0.109,0.178,0.197,0.198,0.144,0.143,0.145,0.147,0.14,0.117,Ethan
97.7,0.197,0.329,0.316,0.281,0.383,0.322,0.265,0.331,0.687,0.357,0.108,0.177,0.195,0.197,0.142,0.139,0.14,0.147,0.14,0.116,Ethan
97.71,0.197,0.328,0.315,0.281,0.385,0.323,0.266,0.334,0.692,0.359,0.107,0.178,0.196,0.197,0.142,0.139,0.14,0.147,0.14,0.116,Ethan
97.75,0.198,0.334,0.32,0.285,0.385,0.325,0.269,0.334,0.688,0.355,0.11,0.177,0.197,0.198,0.143,0.139,0.142,0.147,0.14,0.116,Ethan
97.79,0.2,0.334,0.32,0.285,0.387,0.327,0.271,0.335,0.69,0.357,0.108,0.178,0.199,0.2,0.143,0.139,0.142,0.147,0.14,0.117,Ethan
97.82,0.2,0.334,0.32,0.285,0.387,0.327,0.268,0.337,0.694,0.357,0.108,0.18,0.2,0.2,0.143,0.141,0.142,0.147,0.14,0.117,Ethan
97.79,0.201,0.334,0.32,0.286,0.386,0.326,0.269,0.334,0.691,0.358,0.109,0.18,0.201,0.201,0.143,0.139,0.142,0.147,0.14,0.117,Ethan
97.63,0.199,0.33,0.317,0.281,0.383,0.322,0.268,0.332,0.684,0.355,0.108,0.177,0.199,0.199,0.142,0.139,0.14,0.147,0.14,0.117,Ethan
97.7,0.201,0.333,0.318,0.283,0.385,0.325,0.267,0.339,0.697,0.361,0.108,0.179,0.199,0.201,0.143,0.139,0.14,0.147,0.14,0.117,Ethan
97.69,0.198,0.334,0.319,0.284,0.385,0.326,0.271,0.336,0.688,0.353,0.109,0.177,0.196,0.198,0.143,0.139,0.142,0.147,0.14,0.116,Ethan
97.71,0.197,0.334,0.318,0.284,0.385,0.325,0.267,0.334,0.688,0.353,0.107,0.179,0.197,0.197,0.142,0.139,0.14,0.147,0.139,0.115,Ethan
97.69,0.198,0.335,0.32,0.284,0.388,0.327,0.271,0.338,0.69,0.355,0.11,0.177,0.197,0.198,0.143,0.139,0.141,0.147,0.14,0.116,Ethan
97.65,0.197,0.334,0.32,0.286,0.387,0.328,0.269,0.334,0.685,0.353,0.107,0.178,0.196,0.197,0.143,0.139,0.14,0.147,0.139,0.115,Ethan
97.71,0.2,0.337,0.322,0.286,0.39,0.329,0.271,0.336,0.694,0.361,0.109,0.179,0.199,0.2,0.143,0.141,0.142,0.147,0.14,0.116,Ethan
97.79,0.2,0.337,0.322,0.286,0.391,0.33,0.272,0.34,0.703,0.364,0.109,0.179,0.197,0.2,0.143,0.142,0.142,0.147,0.14,0.117,Ethan
97.71,0.198,0.334,0.32,0.283,0.387,0.327,0.27,0.333,0.684,0.353,0.108,0.178,0.196,0.198,0.143,0.139,0.141,0.147,0.14,0.116,Ethan
97.72,0.198,0.334,0.318,0.282,0.386,0.326,0.272,0.332,0.682,0.351,0.108,0.177,0.196,0.198,0.142,0.139,0.141,0.147,0.14,0.115,Ethan
97.69,0.195,0.333,0.318,0.284,0.385,0.325,0.268,0.334,0.683,0.35,0.109,0.175,0.194,0.195,0.142,0.139,0.141,0.147,0.14,0.114,Ethan
97.69,0.198,0.334,0.319,0.284,0.386,0.326,0.269,0.336,0.694,0.358,0.109,0.177,0.196,0.198,0.143,0.139,0.141,0.147,0.14,0.117,Ethan
97.67,0.194,0.331,0.317,0.282,0.383,0.323,0.268,0.334,0.684,0.351,0.108,0.175,0.194,0.194,0.141,0.139,0.14,0.147,0.14,0.116,Ethan
97.64,0.196,0.333,0.319,0.284,0.383,0.323,0.265,0.333,0.686,0.356,0.108,0.177,0.194,0.196,0.142,0.138,0.14,0.147,0.14,0.116,Ethan
97.57,0.199,0.333,0.319,0.285,0.385,0.324,0.268,0.34,0.698,0.361,0.109,0.179,0.198,0.199,0.142,0.139,0.14,0.145,0.138,0.115,Ethan
97.72,0.199,0.335,0.32,0.287,0.386,0.326,0.268,0.336,0.696,0.36,0.109,0.18,0.199,0.199,0.143,0.139,0.142,0.147,0.14,0.117,Ethan
97.7,0.199,0.334,0.319,0.283,0.385,0.325,0.266,0.34,0.696,0.358,0.108,0.179,0.197,0.199,0.142,0.139,0.14,0.147,0.14,0.116,Ethan
97.64,0.197,0.331,0.318,0.283,0.381,0.323,0.266,0.334,0.687,0.353,0.107,0.178,0.196,0.197,0.141,0.139,0.14,0.145,0.139,0.116,Ethan
97.75,0.198,0.336,0.322,0.284,0.385,0.324,0.267,0.336,0.696,0.362,0.11,0.177,0.196,0.198,0.142,0.139,0.141,0.147,0.14,0.117,Ethan
97.7,0.199,0.338,0.322,0.288,0.39,0.33,0.271,0.339,0.702,0.365,0.11,0.178,0.198,0.199,0.143,0.14,0.142,0.147,0.139,0.115,Ethan
97.77,0.198,0.335,0.321,0.285,0.386,0.326,0.268,0.334,0.689,0.356,0.108,0.179,0.197,0.198,0.143,0.139,0.142,0.147,0.14,0.116,Ethan
97.77,0.199,0.335,0.32,0.285,0.386,0.326,0.268,0.336,0.691,0.357,0.107,0.178,0.197,0.199,0.143,0.139,0.142,0.147,0.14,0.116,Ethan
97.72,0.197,0.333,0.319,0.286,0.385,0.325,0.27,0.334,0.682,0.348,0.109,0.179,0.198,0.197,0.142,0.139,0.14,0.147,0.14,0.116,Ethan
97.72,0.197,0.332,0.319,0.286,0.385,0.324,0.269,0.334,0.685,0.351,0.108,0.178,0.197,0.197,0.142,0.139,0.14,0.147,0.14,0.116,Ethan
97.68,0.201,0.334,0.321,0.287,0.39,0.329,0.272,0.34,0.702,0.364,0.11,0.179,0.2,0.201,0.143,0.14,0.141,0.147,0.14,0.116,Ethan
97.75,0.201,0.338,0.324,0.287,0.391,0.33,0.271,0.34,0.701,0.359,0.11,0.182,0.201,0.201,0.143,0.14,0.142,0.147,0.14,0.117,Ethan
97.71,0.2,0.337,0.322,0.288,0.39,0.329,0.269,0.34,0.697,0.36,0.109,0.181,0.201,0.2,0.143,0.14,0.142,0.147,0.14,0.116,Ethan
97.64,0.197,0.334,0.32,0.287,0.385,0.325,0.269,0.336,0.692,0.356,0.108,0.177,0.196,0.197,0.143,0.139,0.14,0.147,0.139,0.116,Ethan
97.61,0.199,0.334,0.32,0.285,0.385,0.325,0.268,0.334,0.686,0.353,0.109,0.177,0.197,0.199,0.142,0.139,0.14,0.147,0.139,0.116,Ethan
97.66,0.198,0.334,0.32,0.287,0.387,0.328,0.269,0.333,0.684,0.353,0.11,0.178,0.196,0.198,0.143,0.139,0.141,0.147,0.14,0.117,Ethan
97.72,0.197,0.335,0.32,0.287,0.387,0.327,0.267,0.334,0.693,0.361,0.109,0.177,0.195,0.197,0.143,0.139,0.141,0.147,0.14,0.116,Ethan
97.65,0.197,0.333,0.319,0.285,0.385,0.324,0.266,0.334,0.694,0.362,0.109,0.177,0.194,0.197,0.142,0.139,0.14,0.147,0.14,0.117,Ethan
97.66,0.197,0.333,0.319,0.284,0.385,0.323,0.265,0.334,0.698,0.364,0.108,0.177,0.196,0.197,0.141,0.139,0.14,0.146,0.14,0.117,Ethan
97.58,0.197,0.33,0.317,0.281,0.384,0.323,0.265,0.334,0.691,0.359,0.108,0.177,0.195,0.197,0.141,0.139,0.14,0.145,0.139,0.116,Ethan
97.6,0.199,0.333,0.319,0.284,0.385,0.325,0.267,0.337,0.697,0.362,0.108,0.177,0.196,0.199,0.142,0.139,0.14,0.145,0.139,0.115,Ethan
97.67,0.199,0.334,0.32,0.287,0.389,0.329,0.27,0.337,0.69,0.354,0.109,0.177,0.197,0.199,0.143,0.139,0.142,0.147,0.14,0.117,Ethan
97.69,0.197,0.337,0.322,0.287,0.39,0.329,0.271,0.334,0.687,0.354,0.109,0.178,0.196,0.197,0.143,0.139,0.142,0.147,0.14,0.117,Ethan
97.7,0.197,0.335,0.32,0.287,0.387,0.326,0.269,0.334,0.689,0.357,0.109,0.177,0.195,0.197,0.143,0.139,0.141,0.147,0.14,0.116,Ethan
97.69,0.197,0.335,0.32,0.287,0.385,0.326,0.266,0.334,0.692,0.359,0.109,0.177,0.195,0.197,0.143,0.139,0.14,0.147,0.14,0.117,Ethan
97.64,0.199,0.334,0.319,0.285,0.385,0.325,0.267,0.334,0.696,0.362,0.109,0.177,0.196,0.199,0.143,0.139,0.14,0.145,0.139,0.115,Ethan
97.64,0.197,0.334,0.32,0.286,0.386,0.326,0.269,0.333,0.68,0.348,0.109,0.178,0.196,0.197,0.143,0.139,0.14,0.147,0.139,0.114,Ethan
97.59,0.197,0.334,0.318,0.284,0.385,0.324,0.265,0.337,0.697,0.359,0.107,0.178,0.196,0.197,0.143,0.138,0.14,0.145,0.137,0.113,Ethan
97.71,0.195,0.333,0.317,0.281,0.384,0.325,0.267,0.33,0.678,0.347,0.108,0.175,0.195,0.195,0.142,0.138,0.14,0.147,0.14,0.115,Ethan
97.64,0.195,0.334,0.318,0.283,0.383,0.324,0.266,0.33,0.687,0.357,0.108,0.177,0.194,0.195,0.142,0.138,0.14,0.145,0.137,0.113,Ethan
97.66,0.2,0.334,0.319,0.283,0.385,0.325,0.269,0.336,0.696,0.362,0.109,0.178,0.196,0.2,0.143,0.138,0.14,0.145,0.138,0.114,Ethan
